                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7774,                 10.143,                 1.8019,                0.23151,                0.09615,                 0.0036,                0.00108,                 1.6596,                 14.237,                 1.7824,               5.56e-05,               5.56e-05,               5.56e-05
                      2,                 1.3503,                 5.5121,                  1.437,                0.04131,                0.42949,                0.08085,                0.04982,                 1.4398,                 14.296,                 1.5378,             0.00011445,             0.00011445,             0.00011445
                      3,                 1.1518,                 3.9882,                 1.3036,                0.70514,                0.24677,                0.34616,                0.22925,                 1.1538,                 5.3329,                 1.3152,             0.00017087,             0.00017087,             0.00017087
                      4,                 1.0414,                 3.2382,                 1.2654,                0.34893,                0.42039,                0.37674,                0.28261,                 1.0048,                 4.0286,                 1.2146,             0.00022488,             0.00022488,             0.00022488
                      5,                 1.0962,                 2.8681,                 1.2715,                0.49666,                0.56612,                0.58796,                0.42284,                 1.1404,                 3.4739,                 1.2184,             0.00027646,             0.00027646,             0.00027646
                      6,                 1.0156,                 2.2902,                 1.1733,                0.52138,                0.64082,                0.61863,                0.46383,                 1.0136,                 2.3509,                 1.2095,             0.00032562,             0.00032562,             0.00032562
                      7,                 1.0225,                 2.2772,                 1.2053,                0.80201,                0.65951,                0.75951,                0.53864,                 1.1469,                 2.0964,                 1.3462,             0.00037236,             0.00037236,             0.00037236
                      8,                 1.0349,                 1.9518,                 1.1988,                 0.7227,                0.61401,                0.73809,                0.51277,                 1.0361,                 1.8748,                 1.2892,             0.00041668,             0.00041668,             0.00041668
                      9,                 0.9863,                 1.9512,                 1.2186,                0.45711,                0.74461,                 0.7418,                 0.5268,                 1.0639,                 1.7688,                 1.2849,             0.00045857,             0.00045857,             0.00045857
                     10,                0.99263,                 1.6147,                 1.1258,                0.46583,                0.62506,                0.66907,                0.44649,                 1.0179,                 1.7801,                  1.253,             0.00045692,             0.00045692,             0.00045692
                     11,                 1.0142,                 1.6507,                 1.2218,                0.68038,                0.68769,                0.68317,                0.44726,                 1.0893,                 1.5503,                 1.2973,             0.00045692,             0.00045692,             0.00045692
                     12,                 1.0042,                 1.4244,                 1.1734,                0.82111,                0.54224,                 0.7372,                0.49106,                  1.037,                 1.5198,                 1.2146,             0.00044591,             0.00044591,             0.00044591
                     13,                0.94509,                  1.282,                 1.1466,                0.72286,                0.61056,                0.71583,                0.49242,                 1.0667,                 1.4974,                 1.2284,              0.0004349,              0.0004349,              0.0004349
                     14,                 0.9642,                 1.2238,                 1.1957,                0.70385,                0.81879,                0.84017,                0.59619,                 1.0383,                 1.2428,                 1.2592,             0.00042389,             0.00042389,             0.00042389
                     15,                0.90871,                 1.1963,                 1.1506,                0.69347,                0.81583,                 0.8651,                0.57171,                 1.0576,                 1.0787,                 1.2564,             0.00041289,             0.00041289,             0.00041289
                     16,                0.90727,                 1.0907,                 1.2017,                0.60798,                  0.792,                0.82996,                0.54226,                 1.2756,                 1.2028,                 1.4416,             0.00040188,             0.00040188,             0.00040188
                     17,                0.93266,                 1.0993,                 1.1751,                0.76942,                0.76923,                 0.8249,                 0.5658,                 1.1405,                 1.2052,                  1.333,             0.00039087,             0.00039087,             0.00039087
                     18,                0.90031,                 1.0734,                  1.119,                 0.8898,                0.70059,                0.83303,                 0.5725,                 1.1857,                 1.4576,                 1.3944,             0.00037986,             0.00037986,             0.00037986
                     19,                0.86907,                0.94494,                 1.1171,                0.67816,                0.80814,                0.85191,                0.57007,                 1.1039,                 1.1812,                 1.2928,             0.00036885,             0.00036885,             0.00036885
                     20,                0.90496,                0.90949,                 1.1096,                0.79882,                0.86365,                 0.9504,                0.63754,                0.97443,                 1.1138,                 1.1962,             0.00035784,             0.00035784,             0.00035784
                     21,                0.90785,                0.93481,                 1.1199,                0.80226,                0.81791,                0.93271,                0.64534,                 1.0894,                 1.1125,                 1.2514,             0.00034683,             0.00034683,             0.00034683
                     22,                0.82994,                0.85281,                 1.0924,                0.84288,                0.84087,                 0.9512,                0.65693,                0.95626,                0.98098,                  1.197,             0.00033582,             0.00033582,             0.00033582
                     23,                0.83086,                 0.8296,                 1.1346,                0.93147,                0.83144,                0.96025,                0.67608,                 0.9493,                  1.042,                 1.1786,             0.00032482,             0.00032482,             0.00032482
                     24,                0.86268,                0.90898,                 1.1159,                0.77719,                0.91124,                0.96383,                0.68032,                 0.9961,                 1.0638,                 1.1974,             0.00031381,             0.00031381,             0.00031381
                     25,                0.91246,                0.90691,                 1.1598,                0.87307,                0.77882,                0.94544,                0.66669,                0.94561,                 1.0574,                 1.1837,              0.0003028,              0.0003028,              0.0003028
                     26,                0.82154,                0.81288,                   1.16,                0.80938,                0.88275,                0.94048,                0.67494,                0.92247,                 1.0929,                 1.1829,             0.00029179,             0.00029179,             0.00029179
                     27,                0.83971,                0.79331,                 1.0969,                0.83291,                0.81038,                0.93977,                0.66227,                0.97433,                 1.0767,                 1.2361,             0.00028078,             0.00028078,             0.00028078
                     28,                0.73525,                0.68919,                 1.0687,                0.83017,                0.87193,                 0.9489,                0.67868,                 1.0113,                 1.0129,                 1.2324,             0.00026977,             0.00026977,             0.00026977
                     29,                0.81153,                0.74492,                 1.0531,                0.87603,                0.88544,                0.95902,                0.67262,                0.97735,                0.94555,                 1.2222,             0.00025876,             0.00025876,             0.00025876
                     30,                0.75019,                0.66712,                  1.066,                0.91001,                0.86675,                0.96805,                0.72646,                0.93881,                0.80235,                 1.2062,             0.00024775,             0.00024775,             0.00024775
                     31,                0.79388,                0.67651,                 1.0593,                0.92026,                0.92837,                0.97278,                0.73471,                0.91943,                0.71838,                 1.2057,             0.00023674,             0.00023674,             0.00023674
                     32,                0.71012,                0.61793,                 1.0206,                 0.8658,                 0.8657,                0.92116,                0.72094,                0.90292,                0.69639,                 1.2019,             0.00022574,             0.00022574,             0.00022574
                     33,                0.67673,                0.60245,                0.99981,                0.87578,                 0.8681,                0.94958,                0.71762,                0.90843,                0.69765,                 1.2197,             0.00021473,             0.00021473,             0.00021473
                     34,                0.67174,                0.60234,                 0.9843,                0.87988,                0.87473,                0.96016,                0.73009,                0.95754,                0.75649,                 1.2266,             0.00020372,             0.00020372,             0.00020372
                     35,                0.71384,                0.63333,                 1.0266,                 0.8743,                0.88156,                0.97833,                0.75084,                0.95258,                 0.8062,                 1.1973,             0.00019271,             0.00019271,             0.00019271
                     36,                0.71449,                0.59349,                 1.0182,                0.87338,                0.86816,                 0.9765,                0.73938,                0.97851,                 0.8255,                  1.184,              0.0001817,              0.0001817,              0.0001817
                     37,                0.71646,                  0.592,                 1.0266,                0.87754,                0.87564,                0.97266,                0.73375,                 1.0093,                0.72148,                 1.1997,             0.00017069,             0.00017069,             0.00017069
                     38,                0.68125,                0.56546,                0.99199,                0.86548,                0.88738,                0.96647,                0.71438,                 0.9571,                 0.7544,                  1.164,             0.00015968,             0.00015968,             0.00015968
                     39,                0.64637,                0.53756,                0.98888,                0.86912,                0.90903,                0.96071,                0.72273,                0.89951,                0.80725,                 1.1216,             0.00014867,             0.00014867,             0.00014867
